{'nb_hidden3': 478, 'nb_hidden2': 364, 'nb_hidden1': 30, 'mse': 6.1203423, 'learning_rate': 0.013011756154294335, 'keep_value': 0.14757599007672528, 'reg_scale': 7.6936256702419909e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 467, 'nb_hidden2': 177, 'nb_hidden1': 445, 'mse': 0.027257347, 'learning_rate': 0.0088989632871128207, 'keep_value': 0.61980023822657393, 'reg_scale': 6.8988674124552852e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 468, 'nb_hidden2': 48, 'nb_hidden1': 374, 'mse': 3.664938, 'learning_rate': 0.19808549553809018, 'keep_value': 0.38608538445185392, 'reg_scale': 1.0958984395126481, 'nb_hidden_layer': 2}
{'nb_hidden3': 340, 'nb_hidden2': 188, 'nb_hidden1': 56, 'mse': 42.113113, 'learning_rate': 2.7797076386671028e-05, 'keep_value': 0.63141588548202987, 'reg_scale': 2.1669465685395541e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 170, 'nb_hidden2': 163, 'nb_hidden1': 247, 'mse': 53.683704, 'learning_rate': 1.063388452669187, 'keep_value': 0.32305224286678691, 'reg_scale': 0.001058194816159207, 'nb_hidden_layer': 3}
{'nb_hidden3': 240, 'nb_hidden2': 126, 'nb_hidden1': 23, 'mse': 468.30774, 'learning_rate': 90.347967989313887, 'keep_value': 0.52486925223467507, 'reg_scale': 0.45316086201772077, 'nb_hidden_layer': 3}
{'nb_hidden3': 311, 'nb_hidden2': 128, 'nb_hidden1': 83, 'mse': 77.622711, 'learning_rate': 0.00013036421856689738, 'keep_value': 0.69926547209402123, 'reg_scale': 1.1270568281254182e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 486, 'nb_hidden2': 43, 'nb_hidden1': 192, 'mse': 12.850294, 'learning_rate': 64.631392497963418, 'keep_value': 0.58258986670304258, 'reg_scale': 1.7550770113785515e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 202, 'nb_hidden2': 360, 'nb_hidden1': 347, 'mse': 36.244972, 'learning_rate': 0.0050280860386183301, 'keep_value': 0.60728786264280377, 'reg_scale': 0.042147665944660122, 'nb_hidden_layer': 1}
{'nb_hidden3': 121, 'nb_hidden2': 106, 'nb_hidden1': 135, 'mse': 11.69556, 'learning_rate': 5.2088632996983768e-05, 'keep_value': 0.81322518392506549, 'reg_scale': 3.557839614933, 'nb_hidden_layer': 2}
{'nb_hidden3': 17, 'nb_hidden2': 337, 'nb_hidden1': 277, 'mse': 93.812424, 'learning_rate': 5.7893415511976744e-05, 'keep_value': 0.87130952873334111, 'reg_scale': 1.6169088447505571, 'nb_hidden_layer': 1}
{'nb_hidden3': 110, 'nb_hidden2': 420, 'nb_hidden1': 102, 'mse': 0.16631913, 'learning_rate': 3.6878651341505791e-05, 'keep_value': 0.50962409045466273, 'reg_scale': 0.043160682862145833, 'nb_hidden_layer': 3}
