{'nb_hidden3': 113, 'nb_hidden2': 167, 'nb_hidden1': 253, 'mse': 61.864346, 'learning_rate': 0.10907611207396942, 'keep_value': 0.73168708177001418, 'reg_scale': 0.00023333198310475372, 'nb_hidden_layer': 1}
{'nb_hidden3': 263, 'nb_hidden2': 109, 'nb_hidden1': 198, 'mse': 0.083436653, 'learning_rate': 0.0010939545046739275, 'keep_value': 0.20149301386354435, 'reg_scale': 1.2033893330277327e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 410, 'nb_hidden2': 372, 'nb_hidden1': 268, 'mse': 0.14010803, 'learning_rate': 0.0080789210473286525, 'keep_value': 0.87255366988973904, 'reg_scale': 6.8155172808228809e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 448, 'nb_hidden2': 191, 'nb_hidden1': 357, 'mse': 1906074.6, 'learning_rate': 34.178756024517192, 'keep_value': 0.99966997407495239, 'reg_scale': 2.1420681430026351e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 288, 'nb_hidden2': 477, 'nb_hidden1': 317, 'mse': 180354.09, 'learning_rate': 1.1800531869103985, 'keep_value': 0.55458647969411046, 'reg_scale': 0.00038952904134846914, 'nb_hidden_layer': 1}
{'nb_hidden3': 200, 'nb_hidden2': 424, 'nb_hidden1': 319, 'mse': 24355994.0, 'learning_rate': 81.318295484822471, 'keep_value': 0.35460181168396809, 'reg_scale': 1.3854812053694798, 'nb_hidden_layer': 3}
{'nb_hidden3': 175, 'nb_hidden2': 383, 'nb_hidden1': 114, 'mse': 0.04104628, 'learning_rate': 0.0001687944835153054, 'keep_value': 0.14712077869513218, 'reg_scale': 5.2812516125982898e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 334, 'nb_hidden2': 483, 'nb_hidden1': 140, 'mse': 0.13960992, 'learning_rate': 0.012345274090244661, 'keep_value': 0.044376671009230151, 'reg_scale': 1.3938596940895331e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 280, 'nb_hidden2': 210, 'nb_hidden1': 178, 'mse': 0.043083549, 'learning_rate': 1.7617609197727909e-05, 'keep_value': 0.91336323111770856, 'reg_scale': 1.8320006020696623e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 215, 'nb_hidden2': 58, 'nb_hidden1': 470, 'mse': 0.14345655, 'learning_rate': 0.0018424800715601932, 'keep_value': 0.86283913055008554, 'reg_scale': 5.3504652726319302, 'nb_hidden_layer': 3}
{'nb_hidden3': 389, 'nb_hidden2': 269, 'nb_hidden1': 381, 'mse': 0.19302359, 'learning_rate': 0.00076920391418104379, 'keep_value': 0.10564615618830775, 'reg_scale': 0.056247749738736495, 'nb_hidden_layer': 2}
{'nb_hidden3': 244, 'nb_hidden2': 160, 'nb_hidden1': 197, 'mse': 0.16952135, 'learning_rate': 0.0029685726254521138, 'keep_value': 0.99023304593519978, 'reg_scale': 3.2074998495394005, 'nb_hidden_layer': 1}
{'nb_hidden3': 133, 'nb_hidden2': 387, 'nb_hidden1': 382, 'mse': 70.178528, 'learning_rate': 0.13484511011954686, 'keep_value': 0.64654273270377161, 'reg_scale': 2.5482124220178068e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 430, 'nb_hidden2': 170, 'nb_hidden1': 295, 'mse': 171962.27, 'learning_rate': 1.4036146275568024, 'keep_value': 0.530688550178118, 'reg_scale': 0.0055523474654889703, 'nb_hidden_layer': 1}
{'nb_hidden3': 76, 'nb_hidden2': 239, 'nb_hidden1': 90, 'mse': 0.1426736, 'learning_rate': 0.012209436269302652, 'keep_value': 0.72850615341736302, 'reg_scale': 0.0097505413814498454, 'nb_hidden_layer': 3}
{'nb_hidden3': 358, 'nb_hidden2': 492, 'nb_hidden1': 183, 'mse': 0.099818714, 'learning_rate': 0.00073259009695613179, 'keep_value': 0.78972529453098006, 'reg_scale': 0.00030679426964846663, 'nb_hidden_layer': 3}
{'nb_hidden3': 185, 'nb_hidden2': 21, 'nb_hidden1': 487, 'mse': 0.40150994, 'learning_rate': 0.018223909090510085, 'keep_value': 0.73434441929834682, 'reg_scale': 4.8372690784166316e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 247, 'nb_hidden2': 10, 'nb_hidden1': 95, 'mse': 0.095293, 'learning_rate': 1.734332950948142e-05, 'keep_value': 0.60863569606185597, 'reg_scale': 2.866421729885813, 'nb_hidden_layer': 3}
{'nb_hidden3': 47, 'nb_hidden2': 262, 'nb_hidden1': 221, 'mse': 330.50677, 'learning_rate': 0.1404162045863544, 'keep_value': 0.49101044590136211, 'reg_scale': 0.0029951550281577632, 'nb_hidden_layer': 1}
{'nb_hidden3': 95, 'nb_hidden2': 33, 'nb_hidden1': 256, 'mse': 267945.84, 'learning_rate': 4.075442484719316, 'keep_value': 0.062183153694940208, 'reg_scale': 8.4916040984332042e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 76, 'nb_hidden2': 136, 'nb_hidden1': 275, 'mse': 0.25639638, 'learning_rate': 3.2098754399143561e-05, 'keep_value': 0.063594347668921691, 'reg_scale': 1.3164656694418029, 'nb_hidden_layer': 2}
{'nb_hidden3': 103, 'nb_hidden2': 204, 'nb_hidden1': 156, 'mse': 0.041309446, 'learning_rate': 0.00034655327790938684, 'keep_value': 0.034952566539624641, 'reg_scale': 0.00048037158084535434, 'nb_hidden_layer': 1}
{'nb_hidden3': 428, 'nb_hidden2': 134, 'nb_hidden1': 347, 'mse': 0.048413679, 'learning_rate': 0.014379916263186483, 'keep_value': 0.63967690952091449, 'reg_scale': 0.0055014065910673048, 'nb_hidden_layer': 3}
{'nb_hidden3': 204, 'nb_hidden2': 16, 'nb_hidden1': 96, 'mse': 1522.5426, 'learning_rate': 2.5030608240139598, 'keep_value': 0.85400937798296328, 'reg_scale': 2.2077378549463561e-08, 'nb_hidden_layer': 1}
