{'nb_hidden3': 381, 'nb_hidden2': 187, 'nb_hidden1': 239, 'mse': 875.40833, 'learning_rate': 0.0062282920490273602, 'keep_value': 0.77366664580536737, 'reg_scale': 0.0049798043140406589, 'nb_hidden_layer': 2}
{'nb_hidden3': 129, 'nb_hidden2': 369, 'nb_hidden1': 244, 'mse': 1833.1628, 'learning_rate': 0.52323112852841047, 'keep_value': 0.96652679316269974, 'reg_scale': 9.3125700744014132e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 190, 'nb_hidden2': 472, 'nb_hidden1': 296, 'mse': 1555.7877, 'learning_rate': 0.17006549761803591, 'keep_value': 0.87612117098560327, 'reg_scale': 4.5530494321770663, 'nb_hidden_layer': 2}
{'nb_hidden3': 478, 'nb_hidden2': 105, 'nb_hidden1': 131, 'mse': 906.68616, 'learning_rate': 0.00056406145610278134, 'keep_value': 0.66821593303647442, 'reg_scale': 0.0073058110825986334, 'nb_hidden_layer': 1}
{'nb_hidden3': 321, 'nb_hidden2': 302, 'nb_hidden1': 465, 'mse': 1007.6348, 'learning_rate': 0.01615049665076243, 'keep_value': 0.63449551208099564, 'reg_scale': 9.4924545106055707, 'nb_hidden_layer': 3}
{'nb_hidden3': 19, 'nb_hidden2': 374, 'nb_hidden1': 433, 'mse': 4925.1406, 'learning_rate': 2.6990021501109935e-05, 'keep_value': 0.82463721952216429, 'reg_scale': 1.0491603971684178e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 162, 'nb_hidden2': 322, 'nb_hidden1': 191, 'mse': 986.6167, 'learning_rate': 0.11144731279590538, 'keep_value': 0.76500829851646368, 'reg_scale': 0.021308974231858312, 'nb_hidden_layer': 1}
{'nb_hidden3': 256, 'nb_hidden2': 393, 'nb_hidden1': 367, 'mse': 815.38446, 'learning_rate': 0.0020466526089950969, 'keep_value': 0.6846958871605342, 'reg_scale': 1.2525860806080746e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 26, 'nb_hidden2': 492, 'nb_hidden1': 245, 'mse': 805.8136, 'learning_rate': 0.00038147511279718114, 'keep_value': 0.54562230825629543, 'reg_scale': 0.00059547874402822117, 'nb_hidden_layer': 2}
{'nb_hidden3': 125, 'nb_hidden2': 319, 'nb_hidden1': 125, 'mse': 1405.8882, 'learning_rate': 0.00032668984541739767, 'keep_value': 0.99657767176705925, 'reg_scale': 5.2333670652510866, 'nb_hidden_layer': 1}
